19063	XLOC_019063	0610005C13Rik	C	RA	NOTEST	0.329264	0.436476	0.406656	0	1	1	no
7024	XLOC_007024	0610007N19Rik	C	RA	OK	2.28078	3.18381	0.481229	1.54451	0.00785	0.0148869	yes
4739	XLOC_004739	0610007P14Rik	C	RA	OK	43.2751	45.8829	0.0844182	0.531321	0.48925	0.568913	no
12426	XLOC_012426	0610008F07Rik	C	RA	NOTEST	0	0	0	0	1	1	no
4705	XLOC_004705	0610009B14Rik	C	RA	NOTEST	0.304584	0.171071	-0.832242	0	1	1	no
3386	XLOC_003386	0610009B22Rik	C	RA	OK	36.3496	31.6609	-0.199237	-1.24073	0.1239	0.175222	no
4099	XLOC_004099	0610009D07Rik	C	RA	OK	55.1559	55.8464	0.0179491	0.107934	0.8785	0.905381	no
3189	XLOC_003189	0610009L18Rik	C	RA	OK	1.37011	1.02544	-0.418049	-1.01613	0.2291	0.299166	no
9434	XLOC_009434	0610009O20Rik	C	RA	OK	26.4955	26.6193	0.00672466	0.0306239	0.95705	0.966931	no
12512	XLOC_012512	0610010B08Rik	C	RA	OK	0.446221	0.3317	-0.427878	-1.06161	0.05305	0.0829185	no
3298	XLOC_003298	0610010F05Rik	C	RA	OK	6.47231	8.73769	0.432972	2.15244	0.0006	0.0014009	yes
3547	XLOC_003547	0610010K14Rik	C	RA	OK	127.211	91.3619	-0.47756	-2.16663	0.00005	0.000135027	yes
8351	XLOC_008351	0610011F06Rik	C	RA	OK	27.4872	51.661	0.910314	5.33941	0.00005	0.000135027	yes
7943	XLOC_007943	0610012G03Rik	C	RA	OK	20.9082	15.2464	-0.455597	-2.41748	0.00035	0.000848803	yes
11096	XLOC_011096	0610012H03Rik	C	RA	OK	0.0941317	0.636501	2.75741	2.61499	0.00055	0.00129271	yes
16645	XLOC_016645	0610030E20Rik	C	RA	OK	7.97047	9.22023	0.210138	1.06216	0.08865	0.130679	no
12754	XLOC_012754	0610031J06Rik	C	RA	OK	45.1271	52.0749	0.206593	1.18173	0.0808	0.120418	no
13600	XLOC_013600	0610031O16Rik	C	RA	NOTEST	0.022102	0.0995439	2.17116	0	1	1	no
13951	XLOC_013951	0610037L13Rik	C	RA	OK	16.0466	14.3324	-0.162988	-0.84	0.2026	0.268877	no
20014	XLOC_020014	0610038B21Rik	C	RA	OK	0.781264	1.62748	1.05876	1.09358	0.08315	0.123565	no
8936	XLOC_008936	0610038L08Rik	C	RA	OK	0.974116	0.744268	-0.388271	-0.251651	0.6533	0.721279	no
11452	XLOC_011452	0610039K10Rik	C	RA	OK	4.43135	3.40756	-0.379008	-0.245041	0.66445	0.730581	no
15662	XLOC_015662	0610040B10Rik	C	RA	OK	1.0039	2.13012	1.08532	2.4885	0.0422	0.0676686	no
17364	XLOC_017364	0610040F04Rik	C	RA	OK	6.48274	0.228027	-4.82933	-2.88152	0.01965	0.0339729	yes
15245	XLOC_015245	0610040J01Rik	C	RA	OK	0.981683	11.124	3.50227	11.853	0.00005	0.000135027	yes
13917	XLOC_013917	0610043K17Rik	C	RA	NOTEST	0.266418	0.0830836	-1.68106	0	1	1	no
2873	XLOC_002873	1100001G20Rik	C	RA	NOTEST	0	0	0	0	1	1	no
8701	XLOC_008701	1110001A16Rik	C	RA	OK	28.2352	11.8678	-1.25045	-2.27228	0.00195	0.00416424	yes
16475	XLOC_016475	1110001J03Rik	C	RA	OK	45.7762	36.7183	-0.318098	-2.44982	0.02385	0.0404947	yes
4526	XLOC_004526	1110002L01Rik	C	RA	OK	12.1093	9.41872	-0.362509	-1.24248	0.0266	0.0447286	yes
8136	XLOC_008136	1110004E09Rik	C	RA	OK	30.3666	21.2058	-0.518027	-2.70193	0.0001	0.00026119	yes
18375	XLOC_018375	1110004F10Rik	C	RA	OK	67.8698	101.272	0.577399	3.16994	0.00005	0.000135027	yes
16125	XLOC_016125	1110006O24Rik	C	RA	OK	0.680527	1.00232	0.558619	1.18431	0.1716	0.23301	no
5476	XLOC_005476	1110007C09Rik	C	RA	OK	31.8139	13.1264	-1.27718	-7.1694	0.00005	0.000135027	yes
11413	XLOC_011413	1110008F13Rik	C	RA	OK	37.805	41.8619	0.147058	0.538426	0.41695	0.498036	no
16144	XLOC_016144	1110008J03Rik	C	RA	OK	11.5487	6.88039	-0.747172	-3.06065	0.00005	0.000135027	yes
4199	XLOC_004199	1110008L16Rik	C	RA	OK	11.1923	7.84994	-0.511752	-0.825627	0.1833	0.246677	no
11745	XLOC_011745	1110008P14Rik	C	RA	OK	28.2785	19.3187	-0.549708	-3.20794	0.0002	0.000502533	yes
22323	XLOC_022323	1110012L19Rik	C	RA	OK	21.2386	16.1839	-0.392125	-1.99173	0.0029	0.0059924	yes
12555	XLOC_012555	1110015O18Rik	C	RA	NOTEST	0	0	0	0	1	1	no
14413	XLOC_014413	1110017D15Rik	C	RA	NOTEST	0.101257	0.060713	-0.737951	0	1	1	no
4731	XLOC_004731	1110018G07Rik	C	RA	OK	8.68796	9.82475	0.177403	0.892777	0.1416	0.19723	no
16398	XLOC_016398	1110019D14Rik	C	RA	OK	2.93388	1.7469	-0.748016	-2.6006	0.00005	0.000135027	yes
9280	XLOC_009280	1110020A21Rik	C	RA	NOTEST	0.502699	0.263172	-0.933691	0	1	1	no
8126	XLOC_008126	1110025L11Rik	C	RA	NOTEST	0	0	0	0	1	1	no
2901	XLOC_002901	1110028F11Rik	C	RA	NOTEST	0.0150164	0	-Inf	0	1	1	no
20176	XLOC_020176	1110028F18Rik	C	RA	NOTEST	0.0413833	0.00625607	-2.72572	0	1	1	no
21749	XLOC_021749	1110032A03Rik	C	RA	OK	1.5806	2.35519	0.575369	2.02896	0.0023	0.00485865	yes
12701	XLOC_012701	1110032F04Rik	C	RA	OK	0.611872	1.93329	1.65975	5.51449	0.00005	0.000135027	yes
11270	XLOC_011270	1110034G24Rik	C	RA	OK	5.41081	7.1114	0.394288	1.81413	0.0075	0.0142774	yes
3756	XLOC_003756	1110035M17Rik	C	RA	NOTEST	0.293911	0.198848	-0.563717	0	1	1	no
21165	XLOC_021165	1110036E04Rik	C	RA	NOTEST	0	0	0	0	1	1	no
13674	XLOC_013674	1110037F02Rik	C	RA	OK	10.1134	12.1759	0.267751	1.32607	0.02685	0.0451124	yes
9010	XLOC_009010	1110038B12Rik	C	RA	OK	202.111	156.525	-0.368756	-2.79342	0.0039	0.00787449	yes
