chr1	173833583	SNORD47__chr1	10	1	0.000181759	3.10183e-05	5.85973
chr1	173833355	SNORD81__chr1	9	1	0.000163583	3.10183e-05	5.27376
chr22	43506753	BIK__chr22	8	1	0.000145407	3.10183e-05	4.68778
chr22	39709916	SNORD83B__chr22	9	2	0.000163583	6.20367e-05	2.63687
chr17	27046999	RPL23A__chr17	4	1	7.27035e-05	3.10183e-05	2.34389
chr17	27047567	SNORD42B__chr17	4	1	7.27035e-05	3.10183e-05	2.34389
chr22	30162969	ZMAT5__chr22	4	1	7.27035e-05	3.10183e-05	2.34389
chr22	30163357	UQCR10__chr22	4	1	7.27035e-05	3.10183e-05	2.34389
chr15	66795248	SNORD16__chr15	15	4	0.000272638	0.000124073	2.1974
chr15	66795652	SNORD18A__chr15	15	4	0.000272638	0.000124073	2.1974
chr17	77019015	C1QTNF1__chr17	3	1	5.45276e-05	3.10183e-05	1.75792
chr19	58662148	ZNF329__chr19	3	1	5.45276e-05	3.10183e-05	1.75792
chr22	39711312	SNORD83A__chr22	3	1	5.45276e-05	3.10183e-05	1.75792
chr5	177302261	LOC728554__chr5	3	1	5.45276e-05	3.10183e-05	1.75792
chr7	38726689	FAM183B__chr7	12	4	0.00021811	0.000124073	1.75792
chr17	37009248	SNORA21__chr17	6	2	0.000109055	6.20367e-05	1.75791
chr17	37010053	RPL23__chr17	6	2	0.000109055	6.20367e-05	1.75791
chr17	3627196	GSG2__chr17	24	9	0.000436221	0.000279165	1.56259
chr1	173834041	SNORD80__chr1	10	5	0.000181759	0.000155092	1.17194
chr1	173834568	SNORD79__chr1	10	5	0.000181759	0.000155092	1.17194
chr11	93466466	SNORD5__chr11	2	1	3.63517e-05	3.10183e-05	1.17194
chr14	24701576	NEDD8__chr14	2	1	3.63517e-05	3.10183e-05	1.17194
chr14	24701576	NEDD8-MDP1__chr14	2	1	3.63517e-05	3.10183e-05	1.17194
chr14	24701647	GMPR2__chr14	2	1	3.63517e-05	3.10183e-05	1.17194
chr1	45241536	SNORD55__chr1	2	1	3.63517e-05	3.10183e-05	1.17194
chr1	45242163	SNORD46__chr1	2	1	3.63517e-05	3.10183e-05	1.17194
chr16	3070312	TNFRSF12A__chr16	2	1	3.63517e-05	3.10183e-05	1.17194
chr20	2634857	SNORD110__chr20	2	1	3.63517e-05	3.10183e-05	1.17194
chr20	2635712	SNORA51__chr20	2	1	3.63517e-05	3.10183e-05	1.17194
chr22	41636935	CHADL__chr22	2	1	3.63517e-05	3.10183e-05	1.17194
chr9	26947468	PLAA__chr9	2	1	3.63517e-05	3.10183e-05	1.17194
chr1	173834824	SNORD78__chr1	11	7	0.000199935	0.000217128	0.920816
chr19	55720874	PTPRH__chr19	11	7	0.000199935	0.000217128	0.920816
chr19	49993222	SNORD32A__chr19	3	2	5.45276e-05	6.20367e-05	0.878957
